step;plan_fact;plan_prj;plan_delta;vozv_fact;vozv_prj;prof_fact;prof_prj;prof_delta;ubound_plan;lbound_plan;ubound_prof;lbound_prof
121;-2.33;-3.599;-1.778;3.067;0.0;2.48;6.899;15.495;50.0;-50.0;70.0;10.0
122;-2.555;-3.599;-1.787;1.819;0.0;2.018;6.791;15.625;50.0;-50.0;70.0;10.0
123;-2.33;-3.599;-1.796;0.363;0.0;1.903;6.684;15.754;50.0;-50.0;70.0;10.0
124;-2.33;-3.599;-1.805;0.571;0.0;1.442;6.576;15.881;50.0;-50.0;70.0;10.0
125;-2.555;-3.599;-1.814;0.571;0.0;1.845;6.469;16.007;50.0;-50.0;70.0;10.0
126;-2.555;-3.599;-1.823;0.571;0.0;1.845;6.361;16.131;50.0;-50.0;70.0;10.0
127;-2.555;-3.599;-1.831;-0.053;0.0;1.903;6.254;16.253;50.0;-50.0;70.0;10.0
128;-2.555;-3.599;-1.84;-0.261;0.0;1.961;6.146;16.374;50.0;-50.0;70.0;10.0
129;-2.33;-3.599;-1.848;0.363;0.0;2.134;6.039;16.494;50.0;-50.0;70.0;10.0
130;-2.555;-3.599;-1.856;1.195;0.0;2.191;5.931;16.611;50.0;-50.0;70.0;10.0
131;-2.555;-3.599;-1.864;1.611;0.0;2.191;5.824;16.728;50.0;-50.0;70.0;10.0
132;-2.555;-3.599;-1.871;1.611;0.0;2.191;5.716;16.843;50.0;-50.0;70.0;10.0
133;-2.33;-3.599;-1.878;1.403;0.0;2.076;5.609;16.956;50.0;-50.0;70.0;10.0
134;-2.33;-3.599;-1.886;1.611;0.0;2.076;5.501;17.067;50.0;-50.0;70.0;10.0
135;-2.33;-3.599;-1.892;0.987;0.0;2.076;5.394;17.178;50.0;-50.0;70.0;10.0
136;-2.555;-3.599;-1.899;0.363;0.0;1.903;5.286;17.286;50.0;-50.0;70.0;10.0
137;-2.33;-3.599;-1.905;-0.053;0.0;1.903;5.179;17.394;50.0;-50.0;70.0;10.0
138;-2.33;-3.599;-1.912;-0.053;0.0;1.788;5.071;17.499;50.0;-50.0;70.0;10.0
139;-2.33;-3.599;-1.918;0.363;0.0;1.672;4.964;17.603;50.0;-50.0;70.0;10.0
140;-2.33;-3.599;-1.923;0.571;0.0;1.615;4.856;17.706;50.0;-50.0;70.0;10.0
141;-2.555;-3.599;-1.928;0.571;0.0;1.384;4.749;17.807;50.0;-50.0;70.0;10.0
142;-2.555;-3.599;-1.934;0.779;0.0;1.326;4.641;17.907;50.0;-50.0;70.0;10.0
143;-2.555;-3.599;-1.938;0.987;0.0;1.326;4.534;18.005;50.0;-50.0;70.0;10.0
144;-2.33;-3.599;-1.943;1.195;0.0;1.269;4.426;18.102;50.0;-50.0;70.0;10.0
145;-2.779;-3.599;-1.947;0.987;0.0;1.269;4.319;18.197;50.0;-50.0;70.0;10.0
146;-3.004;-3.599;-1.951;0.779;0.0;1.211;4.211;18.291;50.0;-50.0;70.0;10.0
147;-3.004;-3.599;-1.954;0.571;0.0;0.807;4.104;18.383;50.0;-50.0;70.0;10.0
148;-2.779;-3.599;-1.957;0.363;0.0;0.807;3.996;18.474;50.0;-50.0;70.0;10.0
149;-3.004;-3.599;-1.96;-0.053;0.0;0.75;3.889;18.563;50.0;-50.0;70.0;10.0
150;-3.004;-3.599;-1.963;-0.053;0.0;0.923;3.781;18.651;50.0;-50.0;70.0;10.0
151;-3.004;-3.599;-1.965;0.155;0.0;0.923;3.673;18.737;50.0;-50.0;70.0;10.0
152;-3.004;-3.599;-1.967;0.363;0.0;0.98;3.566;18.822;50.0;-50.0;70.0;10.0
153;-2.779;-3.599;-1.968;0.779;0.0;1.096;3.458;18.906;50.0;-50.0;70.0;10.0
154;-2.555;-3.599;-1.969;1.819;0.0;0.923;3.351;18.988;50.0;-50.0;70.0;10.0
155;-2.779;-3.599;-1.97;1.819;0.0;0.865;3.243;19.068;50.0;-50.0;70.0;10.0
156;-2.555;-3.599;-1.97;1.819;0.0;0.577;3.136;19.148;50.0;-50.0;70.0;10.0
157;-2.779;-3.599;-1.97;2.027;0.0;0.519;3.028;19.225;50.0;-50.0;70.0;10.0
158;-2.779;-3.599;-1.97;1.195;0.0;0.346;2.921;19.302;50.0;-50.0;70.0;10.0
159;-2.779;-3.599;-1.969;0.571;0.0;0.461;2.813;19.377;50.0;-50.0;70.0;10.0
160;-2.779;-3.599;-1.967;-0.261;0.0;0.346;2.706;19.45;50.0;-50.0;70.0;10.0
161;-2.779;-3.599;-1.966;-0.677;0.0;0.058;2.598;19.522;50.0;-50.0;70.0;10.0
162;-2.779;-3.599;-1.963;-0.677;0.0;0.115;2.491;19.593;50.0;-50.0;70.0;10.0
163;-2.779;-3.599;-1.961;-0.053;0.0;0.058;2.424;19.662;50.0;-50.0;70.0;10.0
164;-2.555;-3.599;-1.958;0.155;0.0;0.058;2.366;19.73;50.0;-50.0;70.0;10.0
165;-2.779;-3.599;-1.954;0.571;0.0;0.115;2.307;19.797;50.0;-50.0;70.0;10.0
166;-2.555;-3.599;-1.95;1.819;0.0;0.231;2.249;19.862;50.0;-50.0;70.0;10.0
167;-2.779;-3.599;-1.946;3.067;0.0;0.634;2.19;19.927;50.0;-50.0;70.0;10.0
168;-2.779;-3.599;-1.942;2.651;0.0;0.577;2.132;19.99;50.0;-50.0;70.0;10.0
169;-2.779;-3.599;-1.937;1.403;0.0;0.75;2.073;20.052;50.0;-50.0;70.0;10.0
170;-3.004;-3.599;-1.932;0.363;0.0;0.75;2.015;20.114;50.0;-50.0;70.0;10.0
171;-3.004;-3.599;-1.926;0.363;0.0;0.634;1.956;20.174;50.0;-50.0;70.0;10.0
172;-3.004;-3.599;-1.921;0.571;0.0;0.519;1.898;20.234;50.0;-50.0;70.0;10.0
173;-3.228;-3.599;-1.915;0.987;0.0;0.231;1.839;20.292;50.0;-50.0;70.0;10.0
174;-3.228;-3.599;-1.909;1.195;0.0;0.346;1.781;20.351;50.0;-50.0;70.0;10.0
175;-3.228;-3.599;-1.902;0.779;0.0;-0.173;1.722;20.408;50.0;-50.0;70.0;10.0
176;-3.004;-3.599;-1.896;0.987;0.0;-0.231;1.663;20.465;50.0;-50.0;70.0;10.0
177;-2.779;-3.599;-1.89;2.443;0.0;-0.231;1.605;20.522;50.0;-50.0;70.0;10.0
178;-2.555;-3.599;-1.883;2.443;0.0;-0.404;1.546;20.578;50.0;-50.0;70.0;10.0
179;-2.779;-3.599;-1.876;1.611;0.0;-0.231;1.488;20.634;50.0;-50.0;70.0;10.0
180;-3.004;-3.599;-1.869;1.611;0.0;-0.173;1.429;20.69;50.0;-50.0;70.0;10.0
181;-2.33;-3.599;-1.863;1.611;0.0;-0.346;1.371;20.745;50.0;-50.0;70.0;10.0
182;-2.33;-3.599;-1.856;1.403;0.0;-0.288;1.312;20.8;50.0;-50.0;70.0;10.0
183;-2.106;-3.599;-1.849;1.195;0.0;-0.288;1.254;20.856;50.0;-50.0;70.0;10.0
184;-2.33;-3.599;-1.842;0.155;0.0;-0.461;1.195;20.911;50.0;-50.0;70.0;10.0
185;-2.33;-3.599;-1.836;-0.261;0.0;-0.115;1.137;20.966;50.0;-50.0;70.0;10.0
186;-1.657;-3.599;-1.829;-0.885;0.0;-0.115;1.078;21.022;50.0;-50.0;70.0;10.0
187;-1.657;-3.599;-1.822;-0.677;0.0;-0.231;1.02;21.077;50.0;-50.0;70.0;10.0
188;-1.433;-3.599;-1.816;0.363;0.0;-0.058;0.961;21.133;50.0;-50.0;70.0;10.0
189;-1.657;-3.599;-1.81;1.403;0.0;0.173;0.903;21.19;50.0;-50.0;70.0;10.0
190;-1.433;-3.599;-1.804;2.651;0.0;0.346;0.844;21.246;50.0;-50.0;70.0;10.0
191;-1.657;-3.599;-1.798;2.651;0.0;0.692;0.786;21.304;50.0;-50.0;70.0;10.0
192;-1.657;-3.599;-1.792;2.651;0.0;0.577;0.727;21.361;50.0;-50.0;70.0;10.0
193;-1.657;-3.599;-1.786;1.611;0.0;0.98;0.668;21.42;50.0;-50.0;70.0;10.0
194;-1.657;-3.599;-1.781;1.195;0.0;1.038;0.61;21.479;50.0;-50.0;70.0;10.0
195;-1.881;-3.599;-1.776;1.195;0.0;1.269;0.551;21.538;50.0;-50.0;70.0;10.0
196;-1.881;-3.599;-1.772;0.779;0.0;1.038;0.493;21.599;50.0;-50.0;70.0;10.0
197;-1.881;-3.599;-1.767;0.155;0.0;1.153;0.434;21.661;50.0;-50.0;70.0;10.0
198;-2.106;-3.599;-1.763;0.987;0.0;1.326;0.376;21.723;50.0;-50.0;70.0;10.0
199;-2.33;-3.599;-1.76;1.195;0.0;1.326;0.317;21.787;50.0;-50.0;70.0;10.0
200;-2.555;-3.599;-1.757;1.611;0.0;1.557;0.259;21.851;50.0;-50.0;70.0;10.0
201;-2.779;-3.599;-1.754;1.611;0.0;1.672;0.2;21.917;50.0;-50.0;70.0;10.0
202;-3.004;-3.599;-1.752;1.403;0.0;1.845;0.142;21.984;50.0;-50.0;70.0;10.0
203;-3.004;-3.599;-1.75;1.611;0.0;1.845;0.083;22.052;50.0;-50.0;70.0;10.0
204;-3.452;-3.599;-1.748;1.403;0.0;2.191;0.025;22.122;50.0;-50.0;70.0;10.0
205;-3.452;-3.599;-1.747;1.195;0.0;2.307;-0.034;22.193;50.0;-50.0;70.0;10.0
206;-3.452;-3.599;-1.747;-0.053;0.0;2.191;-0.092;22.265;50.0;-50.0;70.0;10.0
207;-3.677;-3.599;-1.747;0.155;0.0;2.422;-0.151;22.339;50.0;-50.0;70.0;10.0
208;-3.901;-3.599;-1.748;2.235;0.0;2.48;-0.21;22.415;50.0;-50.0;70.0;10.0
209;-4.126;-3.599;-1.749;2.859;0.0;2.422;-0.268;22.493;50.0;-50.0;70.0;10.0
210;-4.574;-3.599;-1.751;1.195;0.0;2.422;-0.327;22.572;50.0;-50.0;70.0;10.0
211;-4.799;-3.599;-1.754;-0.053;0.0;2.595;-0.385;22.653;50.0;-50.0;70.0;10.0
212;-5.023;-3.599;-1.757;-0.261;0.0;2.595;-0.444;22.736;50.0;-50.0;70.0;10.0
213;-5.023;-3.599;-1.761;0.987;0.0;2.48;-0.502;22.821;50.0;-50.0;70.0;10.0
214;-5.023;-3.599;-1.766;1.195;0.0;2.307;-0.561;22.908;50.0;-50.0;70.0;10.0
215;-5.023;-3.599;-1.772;1.611;0.0;2.71;-0.619;22.997;50.0;-50.0;70.0;10.0
216;-4.799;-3.599;-1.778;0.987;0.0;2.307;-0.678;23.088;50.0;-50.0;70.0;10.0
217;-4.35;-3.599;-1.785;0.987;0.0;2.422;-0.715;23.181;50.0;-50.0;70.0;10.0
218;-4.35;-3.599;-1.793;2.443;0.0;2.018;-0.747;23.277;50.0;-50.0;70.0;10.0
219;-4.126;-3.599;-1.801;2.235;0.0;2.018;-0.778;23.375;50.0;-50.0;70.0;10.0
220;-3.901;-3.599;-1.81;0.363;0.0;1.557;-0.81;23.475;50.0;-50.0;70.0;10.0
221;-3.677;-3.599;-1.82;-1.093;0.0;1.096;-0.841;23.578;50.0;-50.0;70.0;10.0
222;-3.452;-3.599;-1.83;-0.261;0.0;1.096;-0.873;23.682;50.0;-50.0;70.0;10.0
223;-3.004;-3.599;-1.841;1.195;0.0;1.096;-0.904;23.789;50.0;-50.0;70.0;10.0
224;-2.555;-3.599;-1.853;2.027;0.0;1.038;-0.936;23.898;50.0;-50.0;70.0;10.0
225;-2.555;-3.599;-1.865;2.651;0.0;0.98;-0.967;24.01;50.0;-50.0;70.0;10.0
226;-2.555;-3.599;-1.878;3.483;0.0;1.211;-0.999;24.123;50.0;-50.0;70.0;10.0
227;-2.555;-3.599;-1.891;3.9;0.0;1.326;-1.03;24.239;50.0;-50.0;70.0;10.0
228;-2.33;-3.599;-1.904;3.275;0.0;1.384;-1.061;24.357;50.0;-50.0;70.0;10.0
229;-2.33;-3.599;-1.918;2.443;0.0;1.442;-1.093;24.477;50.0;-50.0;70.0;10.0
230;-2.33;-3.599;-1.932;2.443;0.0;1.499;-1.124;24.599;50.0;-50.0;70.0;10.0
231;-2.555;-3.599;-1.947;3.275;0.0;1.269;-1.156;24.724;50.0;-50.0;70.0;10.0
232;-2.555;-3.599;-1.962;2.651;0.0;1.269;-1.187;24.85;50.0;-50.0;70.0;10.0
233;-2.555;-3.599;-1.977;1.611;0.0;1.153;-1.219;24.979;50.0;-50.0;70.0;10.0
234;-2.555;-3.599;-1.992;1.403;0.0;0.923;-1.25;25.11;50.0;-50.0;70.0;10.0
235;-2.779;-3.599;-2.008;2.651;0.0;0.519;-1.282;25.243;50.0;-50.0;70.0;10.0
236;-2.779;-3.599;-2.023;3.483;0.0;0.346;-1.313;25.378;50.0;-50.0;70.0;10.0
237;-2.779;-3.599;-2.039;3.691;0.0;0.346;-1.345;25.515;50.0;-50.0;70.0;10.0
238;-3.004;-3.599;-2.055;2.443;0.0;0.0;-1.376;25.655;50.0;-50.0;70.0;10.0
239;-3.004;-3.599;-2.071;2.235;0.0;-0.173;-1.408;25.796;50.0;-50.0;70.0;10.0
240;-3.228;-3.599;-2.087;3.691;0.0;-0.058;-1.439;25.94;50.0;-50.0;70.0;10.0
241;-3.228;-3.599;-2.102;3.691;0.0;-0.058;-1.471;26.086;50.0;-50.0;70.0;10.0
242;-3.228;-3.599;-2.118;2.235;0.0;-0.115;-1.502;26.234;50.0;-50.0;70.0;10.0
243;-3.452;-3.599;-2.134;0.987;0.0;-0.115;-1.534;26.384;50.0;-50.0;70.0;10.0
244;-3.677;-3.599;-2.15;0.987;0.0;-0.058;-1.565;26.536;50.0;-50.0;70.0;10.0
245;-3.677;-3.599;-2.165;1.611;0.0;-0.115;-1.597;26.69;50.0;-50.0;70.0;10.0
246;-3.452;-3.599;-2.181;2.235;0.0;-0.115;-1.628;26.846;50.0;-50.0;70.0;10.0
247;-3.677;-3.599;-2.196;2.651;0.0;-0.173;-1.66;27.005;50.0;-50.0;70.0;10.0
248;-3.677;-3.599;-2.21;3.067;0.0;-0.404;-1.691;27.165;50.0;-50.0;70.0;10.0
249;-3.901;-3.599;-2.225;3.483;0.0;-0.461;-1.723;27.327;50.0;-50.0;70.0;10.0
250;-3.677;-3.599;-2.239;4.316;0.0;-0.577;-1.754;27.492;50.0;-50.0;70.0;10.0
251;-3.677;-3.599;-2.253;3.9;0.0;-0.75;-1.786;27.659;50.0;-50.0;70.0;10.0
252;-3.901;-3.599;-2.267;2.443;0.0;-0.807;-1.817;27.827;50.0;-50.0;70.0;10.0
