step;plan_fact;plan_prj;plan_delta;vozv_fact;vozv_prj;prof_fact;prof_fact_left;prof_fact_right;prof_prj;prof_delta;ubound_plan;lbound_plan;ubound_prof;lbound_prof
52;-3.433;-3.599;-0.959;-0.469;0.0;10.54;10.54;8.881;8.165;4.302;50.0;-50.0;70.0;10.0
53;-3.433;-3.599;-0.973;-0.677;0.0;10.523;10.523;8.865;8.223;4.455;50.0;-50.0;70.0;10.0
54;-3.434;-3.599;-0.988;-0.677;0.0;10.505;10.505;8.848;8.282;4.609;50.0;-50.0;70.0;10.0
55;-3.436;-3.599;-1.002;-0.885;0.0;10.486;10.486;8.828;8.285;4.764;50.0;-50.0;70.0;10.0
56;-3.439;-3.599;-1.017;-0.677;0.0;10.466;10.466;8.807;8.285;4.921;50.0;-50.0;70.0;10.0
57;-3.442;-3.599;-1.031;-0.677;0.0;10.446;10.446;8.782;8.285;5.08;50.0;-50.0;70.0;10.0
58;-3.445;-3.599;-1.045;-0.677;0.0;10.425;10.425;8.755;8.285;5.239;50.0;-50.0;70.0;10.0
59;-3.449;-3.599;-1.059;-0.053;0.0;10.403;10.403;8.725;8.285;5.4;50.0;-50.0;70.0;10.0
60;-3.454;-3.599;-1.073;0.779;0.0;10.381;10.381;8.693;8.285;5.563;50.0;-50.0;70.0;10.0
61;-3.458;-3.599;-1.087;0.571;0.0;10.357;10.357;8.657;8.285;5.726;50.0;-50.0;70.0;10.0
62;-3.462;-3.599;-1.101;-0.053;0.0;10.333;10.333;8.619;8.285;5.891;50.0;-50.0;70.0;10.0
63;-3.466;-3.599;-1.115;0.571;0.0;10.306;10.306;8.577;8.285;6.056;50.0;-50.0;70.0;10.0
64;-3.47;-3.599;-1.128;0.571;0.0;10.278;10.278;8.533;8.285;6.223;50.0;-50.0;70.0;10.0
65;-3.473;-3.599;-1.142;0.155;0.0;10.248;10.248;8.485;8.285;6.39;50.0;-50.0;70.0;10.0
66;-3.476;-3.599;-1.155;-0.261;0.0;10.215;10.215;8.433;8.285;6.559;50.0;-50.0;70.0;10.0
67;-3.479;-3.599;-1.168;-0.261;0.0;10.181;10.181;8.378;8.285;6.728;50.0;-50.0;70.0;10.0
68;-3.482;-3.599;-1.182;-0.677;0.0;10.143;10.143;8.32;8.285;6.898;50.0;-50.0;70.0;10.0
69;-3.484;-3.599;-1.195;-0.053;0.0;10.104;10.104;8.257;8.285;7.069;50.0;-50.0;70.0;10.0
70;-3.486;-3.599;-1.208;0.155;0.0;10.062;10.062;8.192;8.285;7.24;50.0;-50.0;70.0;10.0
71;-3.487;-3.599;-1.221;0.571;0.0;10.018;10.018;8.122;8.285;7.412;50.0;-50.0;70.0;10.0
72;-3.488;-3.599;-1.233;0.155;0.0;9.971;9.971;8.05;8.285;7.585;50.0;-50.0;70.0;10.0
73;-3.49;-3.599;-1.246;0.779;0.0;9.923;9.923;7.975;8.285;7.758;50.0;-50.0;70.0;10.0
74;-3.491;-3.599;-1.259;0.987;0.0;9.872;9.872;7.897;8.285;7.931;50.0;-50.0;70.0;10.0
75;-3.492;-3.599;-1.271;0.571;0.0;9.82;9.82;7.817;8.285;8.105;50.0;-50.0;70.0;10.0
76;-3.492;-3.599;-1.284;0.571;0.0;9.765;9.765;7.735;8.285;8.279;50.0;-50.0;70.0;10.0
77;-3.493;-3.599;-1.296;0.363;0.0;9.708;9.708;7.651;8.285;8.453;50.0;-50.0;70.0;10.0
78;-3.493;-3.599;-1.309;0.363;0.0;9.65;9.65;7.565;8.285;8.627;50.0;-50.0;70.0;10.0
79;-3.493;-3.599;-1.321;0.571;0.0;9.589;9.589;7.477;8.285;8.802;50.0;-50.0;70.0;10.0
80;-3.493;-3.599;-1.333;0.571;0.0;9.527;9.527;7.387;8.285;8.977;50.0;-50.0;70.0;10.0
81;-3.493;-3.599;-1.345;0.571;0.0;9.463;9.463;7.296;8.285;9.151;50.0;-50.0;70.0;10.0
82;-3.492;-3.599;-1.357;0.571;0.0;9.397;9.397;7.203;8.285;9.326;50.0;-50.0;70.0;10.0
83;-3.492;-3.599;-1.369;0.987;0.0;9.329;9.329;7.108;8.285;9.5;50.0;-50.0;70.0;10.0
84;-3.492;-3.599;-1.381;1.403;0.0;9.26;9.26;7.011;8.285;9.675;50.0;-50.0;70.0;10.0
85;-3.491;-3.599;-1.393;1.195;0.0;9.188;9.188;6.913;8.285;9.849;50.0;-50.0;70.0;10.0
86;-3.49;-3.599;-1.404;0.571;0.0;9.113;9.113;6.812;8.285;10.022;50.0;-50.0;70.0;10.0
87;-3.488;-3.599;-1.416;0.363;0.0;9.037;9.037;6.709;8.285;10.196;50.0;-50.0;70.0;10.0
88;-3.487;-3.599;-1.427;0.571;0.0;8.957;8.957;6.603;8.285;10.369;50.0;-50.0;70.0;10.0
89;-3.485;-3.599;-1.439;0.571;0.0;8.875;8.875;6.495;8.285;10.541;50.0;-50.0;70.0;10.0
90;-3.483;-3.599;-1.45;0.155;0.0;8.789;8.789;6.383;8.285;10.714;50.0;-50.0;70.0;10.0
91;-3.48;-3.599;-1.462;-0.885;0.0;8.701;8.701;6.269;8.285;10.885;50.0;-50.0;70.0;10.0
92;-3.478;-3.599;-1.473;-0.469;0.0;8.61;8.61;6.153;8.285;11.056;50.0;-50.0;70.0;10.0
93;-3.476;-3.599;-1.484;0.571;0.0;8.516;8.516;6.033;8.285;11.226;50.0;-50.0;70.0;10.0
94;-3.473;-3.599;-1.496;0.779;0.0;8.418;8.418;5.91;8.285;11.395;50.0;-50.0;70.0;10.0
95;-3.471;-3.599;-1.507;0.987;0.0;8.317;8.317;5.785;8.285;11.564;50.0;-50.0;70.0;10.0
96;-3.469;-3.599;-1.518;0.987;0.0;8.213;8.213;5.658;8.285;11.732;50.0;-50.0;70.0;10.0
97;-3.466;-3.599;-1.529;1.819;0.0;8.105;8.105;5.529;8.285;11.899;50.0;-50.0;70.0;10.0
98;-3.464;-3.599;-1.54;2.235;0.0;7.994;7.994;5.398;8.285;12.064;50.0;-50.0;70.0;10.0
99;-3.462;-3.599;-1.551;1.819;0.0;7.88;7.88;5.265;8.285;12.229;50.0;-50.0;70.0;10.0
100;-3.459;-3.599;-1.562;1.403;0.0;7.762;7.762;5.131;8.285;12.393;50.0;-50.0;70.0;10.0
101;-3.457;-3.599;-1.572;1.195;0.0;7.642;7.642;4.996;8.285;12.555;50.0;-50.0;70.0;10.0
102;-3.454;-3.599;-1.583;1.403;0.0;7.519;7.519;4.859;8.285;12.717;50.0;-50.0;70.0;10.0
103;-3.45;-3.599;-1.594;1.403;0.0;7.394;7.394;4.72;8.285;12.877;50.0;-50.0;70.0;10.0
104;-3.447;-3.599;-1.605;1.403;0.0;7.266;7.266;4.58;8.285;13.035;50.0;-50.0;70.0;10.0
105;-3.442;-3.599;-1.615;0.987;0.0;7.136;7.136;4.438;8.285;13.193;50.0;-50.0;70.0;10.0
106;-3.438;-3.599;-1.626;0.987;0.0;7.005;7.005;4.295;8.285;13.349;50.0;-50.0;70.0;10.0
107;-3.433;-3.599;-1.636;2.235;0.0;6.872;6.872;4.152;8.285;13.503;50.0;-50.0;70.0;10.0
108;-3.427;-3.599;-1.647;1.819;0.0;6.738;6.738;4.008;8.285;13.656;50.0;-50.0;70.0;10.0
109;-3.422;-3.599;-1.657;1.403;0.0;6.603;6.603;3.863;8.189;13.807;50.0;-50.0;70.0;10.0
110;-3.416;-3.599;-1.668;1.403;0.0;6.468;6.468;3.72;8.081;13.956;50.0;-50.0;70.0;10.0
111;-3.41;-3.599;-1.678;1.611;0.0;6.331;6.331;3.577;7.974;14.104;50.0;-50.0;70.0;10.0
112;-3.404;-3.599;-1.689;0.155;0.0;6.194;6.194;3.435;7.866;14.251;50.0;-50.0;70.0;10.0
113;-3.398;-3.599;-1.699;-0.053;0.0;6.056;6.056;3.294;7.759;14.395;50.0;-50.0;70.0;10.0
114;-3.392;-3.599;-1.709;0.155;0.0;5.918;5.918;3.155;7.651;14.538;50.0;-50.0;70.0;10.0
115;-3.386;-3.599;-1.719;0.363;0.0;5.779;5.779;3.017;7.544;14.68;50.0;-50.0;70.0;10.0
116;-3.38;-3.599;-1.729;0.571;0.0;5.641;5.641;2.88;7.436;14.82;50.0;-50.0;70.0;10.0
117;-3.376;-3.599;-1.739;1.195;0.0;5.504;5.504;2.745;7.329;14.958;50.0;-50.0;70.0;10.0
118;-3.372;-3.599;-1.749;1.403;0.0;5.367;5.367;2.612;7.221;15.094;50.0;-50.0;70.0;10.0
119;-3.368;-3.599;-1.759;2.027;0.0;5.23;5.23;2.482;7.114;15.23;50.0;-50.0;70.0;10.0
120;-3.366;-3.599;-1.768;3.275;0.0;5.095;5.095;2.353;7.006;15.363;50.0;-50.0;70.0;10.0
121;-3.364;-3.599;-1.778;3.067;0.0;4.961;4.961;2.227;6.899;15.495;50.0;-50.0;70.0;10.0
122;-3.363;-3.599;-1.787;1.819;0.0;4.828;4.828;2.104;6.791;15.625;50.0;-50.0;70.0;10.0
123;-3.362;-3.599;-1.796;0.363;0.0;4.698;4.698;1.984;6.684;15.754;50.0;-50.0;70.0;10.0
124;-3.361;-3.599;-1.805;0.571;0.0;4.569;4.569;1.867;6.576;15.881;50.0;-50.0;70.0;10.0
125;-3.361;-3.599;-1.814;0.571;0.0;4.441;4.441;1.753;6.469;16.007;50.0;-50.0;70.0;10.0
126;-3.361;-3.599;-1.823;0.571;0.0;4.316;4.316;1.641;6.361;16.131;50.0;-50.0;70.0;10.0
127;-3.361;-3.599;-1.831;-0.053;0.0;4.191;4.191;1.533;6.254;16.253;50.0;-50.0;70.0;10.0
128;-3.361;-3.599;-1.84;-0.261;0.0;4.069;4.069;1.426;6.146;16.374;50.0;-50.0;70.0;10.0
129;-3.36;-3.599;-1.848;0.363;0.0;3.947;3.947;1.322;6.039;16.494;50.0;-50.0;70.0;10.0
130;-3.36;-3.599;-1.856;1.195;0.0;3.827;3.827;1.22;5.931;16.611;50.0;-50.0;70.0;10.0
131;-3.36;-3.599;-1.864;1.611;0.0;3.708;3.708;1.121;5.824;16.728;50.0;-50.0;70.0;10.0
132;-3.36;-3.599;-1.871;1.611;0.0;3.59;3.59;1.023;5.716;16.843;50.0;-50.0;70.0;10.0
133;-3.359;-3.599;-1.878;1.403;0.0;3.473;3.473;0.927;5.609;16.956;50.0;-50.0;70.0;10.0
134;-3.358;-3.599;-1.886;1.611;0.0;3.358;3.358;0.833;5.501;17.067;50.0;-50.0;70.0;10.0
135;-3.357;-3.599;-1.892;0.987;0.0;3.245;3.245;0.742;5.394;17.178;50.0;-50.0;70.0;10.0
136;-3.356;-3.599;-1.899;0.363;0.0;3.133;3.133;0.653;5.286;17.286;50.0;-50.0;70.0;10.0
137;-3.355;-3.599;-1.905;-0.053;0.0;3.022;3.022;0.566;5.179;17.394;50.0;-50.0;70.0;10.0
138;-3.353;-3.599;-1.912;-0.053;0.0;2.914;2.914;0.481;5.071;17.499;50.0;-50.0;70.0;10.0
139;-3.352;-3.599;-1.918;0.363;0.0;2.808;2.808;0.399;4.964;17.603;50.0;-50.0;70.0;10.0
140;-3.35;-3.599;-1.923;0.571;0.0;2.704;2.704;0.32;4.856;17.706;50.0;-50.0;70.0;10.0
141;-3.349;-3.599;-1.928;0.571;0.0;2.603;2.603;0.244;4.749;17.807;50.0;-50.0;70.0;10.0
142;-3.347;-3.599;-1.934;0.779;0.0;2.505;2.505;0.171;4.641;17.907;50.0;-50.0;70.0;10.0
143;-3.346;-3.599;-1.938;0.987;0.0;2.41;2.41;0.102;4.534;18.005;50.0;-50.0;70.0;10.0
144;-3.344;-3.599;-1.943;1.195;0.0;2.317;2.317;0.037;4.426;18.102;50.0;-50.0;70.0;10.0
145;-3.342;-3.599;-1.947;0.987;0.0;2.228;2.228;-0.024;4.319;18.197;50.0;-50.0;70.0;10.0
146;-3.341;-3.599;-1.951;0.779;0.0;2.141;2.141;-0.081;4.211;18.291;50.0;-50.0;70.0;10.0
147;-3.339;-3.599;-1.954;0.571;0.0;2.059;2.059;-0.134;4.104;18.383;50.0;-50.0;70.0;10.0
148;-3.337;-3.599;-1.957;0.363;0.0;1.979;1.979;-0.183;3.996;18.474;50.0;-50.0;70.0;10.0
149;-3.334;-3.599;-1.96;-0.053;0.0;1.904;1.904;-0.227;3.889;18.563;50.0;-50.0;70.0;10.0
150;-3.332;-3.599;-1.963;-0.053;0.0;1.832;1.832;-0.268;3.781;18.651;50.0;-50.0;70.0;10.0
151;-3.33;-3.599;-1.965;0.155;0.0;1.765;1.765;-0.305;3.673;18.737;50.0;-50.0;70.0;10.0
152;-3.328;-3.599;-1.967;0.363;0.0;1.701;1.701;-0.338;3.566;18.822;50.0;-50.0;70.0;10.0
153;-3.326;-3.599;-1.968;0.779;0.0;1.64;1.64;-0.367;3.458;18.906;50.0;-50.0;70.0;10.0
154;-3.325;-3.599;-1.969;1.819;0.0;1.583;1.583;-0.393;3.351;18.988;50.0;-50.0;70.0;10.0
155;-3.324;-3.599;-1.97;1.819;0.0;1.53;1.53;-0.415;3.243;19.068;50.0;-50.0;70.0;10.0
156;-3.325;-3.599;-1.97;1.819;0.0;1.481;1.481;-0.433;3.136;19.148;50.0;-50.0;70.0;10.0
157;-3.326;-3.599;-1.97;2.027;0.0;1.436;1.436;-0.448;3.028;19.225;50.0;-50.0;70.0;10.0
158;-3.329;-3.599;-1.97;1.195;0.0;1.394;1.394;-0.46;2.921;19.302;50.0;-50.0;70.0;10.0
159;-3.332;-3.599;-1.969;0.571;0.0;1.356;1.356;-0.467;2.813;19.377;50.0;-50.0;70.0;10.0
160;-3.337;-3.599;-1.967;-0.261;0.0;1.322;1.322;-0.471;2.706;19.45;50.0;-50.0;70.0;10.0
161;-3.342;-3.599;-1.966;-0.677;0.0;1.291;1.291;-0.471;2.598;19.522;50.0;-50.0;70.0;10.0
162;-3.349;-3.599;-1.963;-0.677;0.0;1.263;1.263;-0.468;2.491;19.593;50.0;-50.0;70.0;10.0
163;-3.356;-3.599;-1.961;-0.053;0.0;1.239;1.239;-0.463;2.424;19.662;50.0;-50.0;70.0;10.0
164;-3.364;-3.599;-1.958;0.155;0.0;1.218;1.218;-0.455;2.366;19.73;50.0;-50.0;70.0;10.0
165;-3.373;-3.599;-1.954;0.571;0.0;1.199;1.199;-0.444;2.307;19.797;50.0;-50.0;70.0;10.0
166;-3.382;-3.599;-1.95;1.819;0.0;1.184;1.184;-0.432;2.249;19.862;50.0;-50.0;70.0;10.0
167;-3.392;-3.599;-1.946;3.067;0.0;1.17;1.17;-0.418;2.19;19.927;50.0;-50.0;70.0;10.0
168;-3.402;-3.599;-1.942;2.651;0.0;1.159;1.159;-0.403;2.132;19.99;50.0;-50.0;70.0;10.0
169;-3.412;-3.599;-1.937;1.403;0.0;1.149;1.149;-0.387;2.073;20.052;50.0;-50.0;70.0;10.0
170;-3.421;-3.599;-1.932;0.363;0.0;1.141;1.141;-0.369;2.015;20.114;50.0;-50.0;70.0;10.0
171;-3.43;-3.599;-1.926;0.363;0.0;1.135;1.135;-0.351;1.956;20.174;50.0;-50.0;70.0;10.0
172;-3.439;-3.599;-1.921;0.571;0.0;1.131;1.131;-0.332;1.898;20.234;50.0;-50.0;70.0;10.0
173;-3.447;-3.599;-1.915;0.987;0.0;1.129;1.129;-0.312;1.839;20.292;50.0;-50.0;70.0;10.0
174;-3.454;-3.599;-1.909;1.195;0.0;1.128;1.128;-0.291;1.781;20.351;50.0;-50.0;70.0;10.0
175;-3.46;-3.599;-1.902;0.779;0.0;1.131;1.131;-0.27;1.722;20.408;50.0;-50.0;70.0;10.0
176;-3.466;-3.599;-1.896;0.987;0.0;1.135;1.135;-0.248;1.663;20.465;50.0;-50.0;70.0;10.0
177;-3.472;-3.599;-1.89;2.443;0.0;1.141;1.141;-0.226;1.605;20.522;50.0;-50.0;70.0;10.0
178;-3.477;-3.599;-1.883;2.443;0.0;1.148;1.148;-0.204;1.546;20.578;50.0;-50.0;70.0;10.0
179;-3.482;-3.599;-1.876;1.611;0.0;1.158;1.158;-0.182;1.488;20.634;50.0;-50.0;70.0;10.0
180;-3.487;-3.599;-1.869;1.611;0.0;1.169;1.169;-0.159;1.429;20.69;50.0;-50.0;70.0;10.0
181;-3.493;-3.599;-1.863;1.611;0.0;1.182;1.182;-0.137;1.371;20.745;50.0;-50.0;70.0;10.0
182;-3.498;-3.599;-1.856;1.403;0.0;1.196;1.196;-0.114;1.312;20.8;50.0;-50.0;70.0;10.0
183;-3.504;-3.599;-1.849;1.195;0.0;1.212;1.212;-0.091;1.254;20.856;50.0;-50.0;70.0;10.0
184;-3.51;-3.599;-1.842;0.155;0.0;1.229;1.229;-0.068;1.195;20.911;50.0;-50.0;70.0;10.0
185;-3.517;-3.599;-1.836;-0.261;0.0;1.247;1.247;-0.045;1.137;20.966;50.0;-50.0;70.0;10.0
186;-3.525;-3.599;-1.829;-0.885;0.0;1.267;1.267;-0.022;1.078;21.022;50.0;-50.0;70.0;10.0
187;-3.533;-3.599;-1.822;-0.677;0.0;1.288;1.288;0.001;1.02;21.077;50.0;-50.0;70.0;10.0
188;-3.543;-3.599;-1.816;0.363;0.0;1.31;1.31;0.023;0.961;21.133;50.0;-50.0;70.0;10.0
189;-3.554;-3.599;-1.81;1.403;0.0;1.333;1.333;0.044;0.903;21.19;50.0;-50.0;70.0;10.0
190;-3.567;-3.599;-1.804;2.651;0.0;1.356;1.356;0.065;0.844;21.246;50.0;-50.0;70.0;10.0
191;-3.58;-3.599;-1.798;2.651;0.0;1.38;1.38;0.086;0.786;21.304;50.0;-50.0;70.0;10.0
192;-3.595;-3.599;-1.792;2.651;0.0;1.404;1.404;0.105;0.727;21.361;50.0;-50.0;70.0;10.0
193;-3.611;-3.599;-1.786;1.611;0.0;1.428;1.428;0.124;0.668;21.42;50.0;-50.0;70.0;10.0
194;-3.628;-3.599;-1.781;1.195;0.0;1.451;1.451;0.141;0.61;21.479;50.0;-50.0;70.0;10.0
195;-3.646;-3.599;-1.776;1.195;0.0;1.473;1.473;0.157;0.551;21.538;50.0;-50.0;70.0;10.0
196;-3.665;-3.599;-1.772;0.779;0.0;1.495;1.495;0.172;0.493;21.599;50.0;-50.0;70.0;10.0
197;-3.686;-3.599;-1.767;0.155;0.0;1.516;1.516;0.184;0.434;21.661;50.0;-50.0;70.0;10.0
198;-3.707;-3.599;-1.763;0.987;0.0;1.536;1.536;0.193;0.376;21.723;50.0;-50.0;70.0;10.0
199;-3.729;-3.599;-1.76;1.195;0.0;1.554;1.554;0.2;0.317;21.787;50.0;-50.0;70.0;10.0
200;-3.752;-3.599;-1.757;1.611;0.0;1.571;1.571;0.205;0.259;21.851;50.0;-50.0;70.0;10.0
201;-3.774;-3.599;-1.754;1.611;0.0;1.587;1.587;0.208;0.2;21.917;50.0;-50.0;70.0;10.0
202;-3.797;-3.599;-1.752;1.403;0.0;1.601;1.601;0.208;0.142;21.984;50.0;-50.0;70.0;10.0
203;-3.82;-3.599;-1.75;1.611;0.0;1.613;1.613;0.206;0.083;22.052;50.0;-50.0;70.0;10.0
204;-3.842;-3.599;-1.748;1.403;0.0;1.622;1.622;0.201;0.025;22.122;50.0;-50.0;70.0;10.0
205;-3.863;-3.599;-1.747;1.195;0.0;1.63;1.63;0.195;-0.034;22.193;50.0;-50.0;70.0;10.0
206;-3.884;-3.599;-1.747;-0.053;0.0;1.637;1.637;0.186;-0.092;22.265;50.0;-50.0;70.0;10.0
207;-3.904;-3.599;-1.747;0.155;0.0;1.641;1.641;0.176;-0.151;22.339;50.0;-50.0;70.0;10.0
208;-3.923;-3.599;-1.748;2.235;0.0;1.645;1.645;0.164;-0.21;22.415;50.0;-50.0;70.0;10.0
209;-3.941;-3.599;-1.749;2.859;0.0;1.647;1.647;0.15;-0.268;22.493;50.0;-50.0;70.0;10.0
210;-3.956;-3.599;-1.751;1.195;0.0;1.648;1.648;0.136;-0.327;22.572;50.0;-50.0;70.0;10.0
211;-3.97;-3.599;-1.754;-0.053;0.0;1.648;1.648;0.119;-0.385;22.653;50.0;-50.0;70.0;10.0
212;-3.981;-3.599;-1.757;-0.261;0.0;1.647;1.647;0.102;-0.444;22.736;50.0;-50.0;70.0;10.0
213;-3.99;-3.599;-1.761;0.987;0.0;1.645;1.645;0.082;-0.502;22.821;50.0;-50.0;70.0;10.0
214;-3.997;-3.599;-1.766;1.195;0.0;1.643;1.643;0.061;-0.561;22.908;50.0;-50.0;70.0;10.0
215;-4.001;-3.599;-1.772;1.611;0.0;1.639;1.639;0.038;-0.619;22.997;50.0;-50.0;70.0;10.0
216;-4.003;-3.599;-1.778;0.987;0.0;1.634;1.634;0.014;-0.678;23.088;50.0;-50.0;70.0;10.0
217;-4.004;-3.599;-1.785;0.987;0.0;1.629;1.629;-0.012;-0.715;23.181;50.0;-50.0;70.0;10.0
218;-4.002;-3.599;-1.793;2.443;0.0;1.623;1.623;-0.039;-0.747;23.277;50.0;-50.0;70.0;10.0
219;-3.999;-3.599;-1.801;2.235;0.0;1.616;1.616;-0.067;-0.778;23.375;50.0;-50.0;70.0;10.0
